time,open,high,low,close,Histogram,MACD,Signal,RSI,%K,%D
2014-04-16T13:30:00Z,135.17,136.78,134.81,136.77,-0.043370544,0.507761884,0.551132429,59.53742043,46.08695652,28.50682331
2014-04-17T13:30:00Z,137.3,138.25,137.25,137.73,0.137378517,0.722855575,0.585477058,62.06438529,70.08732873,45.32574867
2014-04-21T13:30:00Z,137.25,138.71,137.18,138.62,0.294926956,0.954135753,0.659208797,64.29091172,90.97223157,69.04883894
2014-04-22T13:30:00Z,138.5,139.52,138.13,138.89,0.389435595,1.146003291,0.756567696,64.96275674,93.96933302,85.0096311
2014-04-23T13:30:00Z,138.81,138.89,137.89,137.99,0.363923542,1.211472123,0.847548581,60.85282587,89.95156951,91.6310447
2014-04-24T13:30:00Z,136.38,136.99,135,136.65,0.235612999,1.14206483,0.906451831,55.24833418,77.64444444,87.18844899
2014-04-25T13:30:00Z,136.5,136.96,135.69,136.56,0.128831676,1.067491426,0.93865975,54.88272797,67.28888889,78.29496761
2014-04-28T13:30:00Z,137.43,138.35,135.97,137.23,0.089349895,1.050347118,0.960997224,57.15575125,63.91111111,69.61481481
2014-04-29T13:30:00Z,137.87,137.9,136.56,137.55,0.071580035,1.050472267,0.978892232,58.23793954,67.91111111,66.37037037
2014-04-30T13:30:00Z,137.63,139.2,137.33,139.09,0.146044715,1.161448126,1.015403411,63.07209283,79.15555556,70.32592593
2014-05-01T13:30:00Z,139.5,141.49,139.12,140.81,0.285570972,1.372367126,1.086796154,67.58518732,86.93980993,78.00215886
2014-05-02T13:30:00Z,141.63,141.83,139.87,140.12,0.304110923,1.466934808,1.162823885,64.19572236,89.88496793,85.3267778
2014-05-05T13:30:00Z,139.14,141.05,138.65,140.61,0.32045882,1.56339741,1.24293859,65.5182378,87.65064921,88.15847569
2014-05-06T13:30:00Z,140.28,140.43,139.17,139.29,0.218335434,1.515857883,1.297522448,59.17690407,77.98339389,85.17300367
2014-05-07T13:30:00Z,139.98,141.25,139.175,141.14,0.249114384,1.608915428,1.359801044,64.38034461,80.4262951,82.02011273
2014-05-08T13:30:00Z,140.88,142.1199,140.51,140.83,0.223166523,1.638759198,1.415592675,62.93278564,78.53278244,78.98082381
2014-05-09T13:30:00Z,140.56,141.37,140.25,141.34,0.214845469,1.684149512,1.469304042,64.35282773,86.94229266,81.9671234
2014-05-12T13:30:00Z,141.78,142.94,141.71,142.82,0.279422217,1.818581814,1.539159597,68.16437155,89.80601066,85.09369525
2014-05-13T13:30:00Z,143,143.37,142.32,142.43,0.266328784,1.872070577,1.605741793,66.15694866,92.10142468,89.616576
2014-05-14T13:30:00Z,142.48,142.77,141.41,141.6,0.176552777,1.826432764,1.649879987,61.97394044,88.07040152,89.99261229
2014-05-15T13:30:00Z,141.56,141.739,140.022,140.98,0.056419134,1.720403905,1.663984771,58.9742663,77.80841409,85.99341343
2014-05-16T13:30:00Z,140.93,141.2,139.91,141.13,-0.027433472,1.62969293,1.657126402,59.48519811,70.58767433,78.82216332
2014-05-19T13:30:00Z,140.07,142,139.98,141.67,-0.05919872,1.583128002,1.642326722,61.35127256,68.88806755,72.42805199
2014-05-20T13:30:00Z,141.6,141.9,139.89,140.23,-0.182875482,1.41373237,1.596607852,54.18420689,57.47869207,65.65147798
2014-05-21T13:30:00Z,139.77,140.79,139.77,140.66,-0.23792142,1.299206077,1.537127497,55.84305814,49.30454222,58.55710061
2014-05-22T13:30:00Z,140.71,140.96,140.26,140.31,-0.296300793,1.166751506,1.463052299,54.12524323,37.07627119,47.95316849
2014-05-23T13:30:00Z,140.23,141.18,140.052,141.14,-0.277728984,1.115891069,1.393620053,57.46666532,41.55299973,42.64460438
2014-05-27T13:30:00Z,141.5,141.6,141.13,141.44,-0.24508959,1.087258066,1.332347655,58.63932772,45.35570069,41.32832387
2014-05-28T13:30:00Z,141.81,141.9,141.06,141.43,-0.224568785,1.051636674,1.276205459,58.5813493,49.00290722,45.30386921
2014-05-29T13:30:00Z,141.5,142.43,141.19,142.39,-0.150304439,1.08832491,1.238629349,62.42249868,57.62724584,50.66195125
2014-05-30T13:30:00Z,142.11,142.67,141.78,142.55,-0.0969593,1.117430224,1.214389524,63.03775631,65.37037037,57.33350781
2014-06-02T13:30:00Z,142.27,142.91,141.69,142.32,-0.084190254,1.109151707,1.193341961,61.47945423,73.61111111,65.53624244
2014-06-03T13:30:00Z,142.08,143.13,141.61,142.89,-0.046276874,1.135495869,1.181772742,63.86357264,80.3042328,73.0952381
2014-06-04T13:30:00Z,142.91,143,142.26,142.26,-0.071066716,1.092939348,1.164006063,59.48161177,79.26587302,77.72707231
2014-06-05T13:30:00Z,142.76,143.74,141.9,143.71,-0.000955482,1.162811711,1.163767193,65.3709674,88.73620607,82.76877063
2014-06-06T13:30:00Z,143.99,144.64,143.53,144.64,0.091779552,1.278491633,1.186712081,68.53038265,91.11715845,86.37307918
2014-06-09T13:30:00Z,144.64,145.53,144.61,145.32,0.177669824,1.408799361,1.231129537,70.63967989,98.53283305,92.79539919
2014-06-10T13:30:00Z,144.97,145.21,144.46,144.97,0.188630281,1.466917388,1.278287107,68.10923918,95.54398148,95.06465766
